UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2025,999,342034432,169256994,172777438,127001881,127892857,22602830,24392799,2457213,2391391,11237518,12113463,486769,473618,5470783,5513310,131906243,132811022,25156255,27009689,3950284,3937926,13293620,14148612,947085,934740,134116701,138467617,96679441,98314349,20734430,22491682,1207860,1243871,10853881,11731109,346781,340404,4294308,4346202,100528726,102188975,22713982,24530633,2228094,2324033,12592216,13450444,703702,699549,35140293,34309821,30322440,29578508,1868400,1901117,1249353,1147520,383637,382354,139988,133214,1176475,1167108,31377517,30622047,2442273,2479056,1722190,1613893,701404,698168,243383,235191
R,7,2025,0,3605765,1841571,1764194,1267520,1212176,296698,287302,35940,34844,108725,102206,7893,7494,124795,120172,1382283,1322670,365762,353938,59260,57425,154811,146397,16462,15672,1314517,1255357,842777,802512,256178,248048,11980,11472,100413,94445,4317,3977,98852,94903,934206,890270,311692,301470,26643,25610,138439,130819,10518,9874,527054,508837,424743,409664,40520,39254,23960,23372,8312,7761,3576,3517,25943,25269,448077,432400,54070,52468,32617,31815,16372,15578,5944,5798
R,7,2025,1,3640840,1859255,1781585,1275515,1219907,299200,289684,36906,35782,113901,107397,8052,7674,125681,121141,1391070,1331260,368578,356658,60380,58558,160508,152141,16681,15915,1323728,1264684,844442,804247,258019,249897,11994,11488,105459,99449,4446,4099,99368,95504,936320,892521,313617,303436,26672,25655,143947,136327,10687,10044,535527,516901,431073,415660,41181,39787,24912,24294,8442,7948,3606,3575,26313,25637,454750,438739,54961,53222,33708,32903,16561,15814,5994,5871
R,7,2025,2,3727337,1903236,1824101,1300078,1243329,306568,297072,38497,37378,121316,114609,8312,7975,128465,123738,1418180,1357040,377310,365279,62518,60640,169098,160504,17114,16390,1351576,1291319,856745,815657,264129,256125,12144,11645,112607,106311,4635,4259,101316,97322,950397,905578,320621,310462,27049,26000,152101,144184,10998,10329,551660,532782,443333,427672,42439,40947,26353,25733,8709,8298,3677,3716,27149,26416,467783,451462,56689,54817,35469,34640,16997,16320,6116,6061
R,7,2025,3,3793553,1936221,1857332,1319289,1262475,312830,304367,38379,36851,126765,119858,8279,7929,130679,125852,1439412,1378118,384709,373616,62832,60489,175438,166677,17226,16463,1382905,1323091,874908,833117,270159,263289,12342,11740,117944,111450,4699,4424,102853,99071,969959,924631,327374,318452,27432,26315,158192,150185,11169,10604,553316,534241,444381,429358,42671,41078,26037,25111,8821,8408,3580,3505,27826,26781,469453,453487,57335,55164,35400,34174,17246,16492,6057,5859
R,7,2025,4,3714154,1898636,1815518,1291507,1229733,310979,302014,36997,35645,124328,118464,7368,6929,127457,122733,1408666,1342514,381108,369544,60856,58700,171784,164124,16076,15241,1373378,1308849,868711,821719,271257,263864,12418,11953,116261,110524,4446,4099,100285,96690,961385,911025,327024,317670,27122,26180,155544,148372,10749,10135,525258,506669,422796,408014,39722,38150,24579,23692,8067,7940,2922,2830,27172,26043,447281,431489,54084,51874,33734,32520,16240,15752,5327,5106
R,7,2025,5,3846232,1965194,1881038,1350325,1288724,310859,301947,38904,37149,129957,123771,7459,6972,127690,122475,1467712,1401305,381254,369506,62653,60082,177480,169206,16182,15253,1435612,1372941,921474,876716,272978,265992,13750,13277,121756,115909,4677,4250,100977,96797,1014766,966125,329214,319970,28548,27506,161271,153716,11060,10320,529582,508097,428851,412008,37881,35955,25154,23872,8201,7862,2782,2722,26713,25678,452946,435180,52040,49536,34105,32576,16209,15490,5122,4933
R,7,2025,6,3902055,1991676,1910379,1373026,1311554,312721,306024,39659,37980,130866,125048,7747,7125,127657,122648,1490323,1424255,383009,373690,63519,61085,178373,170429,16468,15417,1454127,1392075,936982,890558,274728,269522,14319,13853,122408,117022,4816,4437,100874,96683,1030109,979821,330799,323444,29185,28169,161936,154706,11225,10514,537549,518304,436044,420996,37993,36502,25340,24127,8458,8026,2931,2688,26783,25965,460214,444434,52210,50246,34334,32916,16437,15723,5243,4903
R,7,2025,7,3985725,2036278,1949447,1403404,1338501,319108,312353,40138,37979,135905,128776,7831,7280,129892,124558,1522754,1452929,390269,380949,64456,61465,184499,174941,16759,15738,1492774,1425496,960665,911494,282041,276323,14344,13848,127704,120860,4971,4604,103049,98367,1055788,1002272,339057,331073,29538,28448,168307,159287,11568,10825,543504,523951,442739,427007,37067,36030,25794,24131,8201,7916,2860,2676,26843,26191,466966,450657,51212,49876,34918,33017,16192,15654,5191,4913
R,7,2025,8,4059330,2076019,1983311,1436586,1367146,319579,312116,39040,37824,141981,133960,7950,7477,130883,124788,1556741,1481779,390310,380311,63772,61665,191681,180419,17116,16056,1524738,1451317,983276,930667,283210,276353,15429,14782,133794,126138,5126,4789,103903,98588,1079055,1021628,339753,330762,31037,29677,175455,164854,11962,11103,551281,531994,453310,436479,36369,35763,23611,23042,8187,7822,2824,2688,26980,26200,477686,460151,50557,49549,32735,31988,16226,15565,5154,4953
R,7,2025,9,4158975,2124942,2034033,1486877,1416249,320717,315136,38375,37007,139111,131757,7738,7486,132124,126398,1608258,1532408,391925,383805,63673,61325,189087,178955,16981,16215,1561261,1491300,1019775,967070,284820,279846,15956,15338,130945,124029,4935,4817,104830,100200,1116502,1059570,341813,334813,31973,30695,172709,163429,11782,11277,563681,542733,467102,449179,35897,35290,22419,21669,8166,7728,2803,2669,27294,26198,491756,472838,50112,48992,31700,30630,16378,15526,5199,4938
R,7,2025,10,4190977,2140798,2050179,1495524,1427303,327109,319166,37877,37008,140981,133197,7596,7462,131711,126043,1616531,1543137,398160,387618,63202,61266,190616,180259,16813,16159,1578602,1506958,1028939,977369,290549,283320,16293,15607,133134,125666,4896,4810,104791,100186,1125614,1069847,347441,338254,32472,31024,174780,165041,11779,11286,562196,543221,466585,449934,36560,35846,21584,21401,7847,7531,2700,2652,26920,25857,490917,473290,50719,49364,30730,30242,15836,15218,5034,4873
R,7,2025,11,4174586,2137687,2036899,1497638,1420922,327746,317966,38137,36882,136885,129870,7268,7093,130013,124166,1617125,1535018,397460,385598,63278,60896,186088,175946,16491,15768,1578896,1501560,1033887,977032,290858,282427,16637,15901,129270,122801,4738,4629,103506,98770,1129444,1068202,346699,336784,32793,31245,170526,161303,11593,11064,558791,535339,463751,443890,36888,35539,21500,20981,7615,7069,2530,2464,26507,25396,487681,466816,50761,48814,30485,29651,15562,14643,4898,4704
R,7,2025,12,4156618,2124188,2032430,1486912,1419780,325127,315751,38038,36542,138729,131028,7304,7054,128078,122275,1604483,1531966,393380,381769,62930,60478,187558,176864,16601,15730,1570385,1498243,1025996,975075,289411,281303,16786,16033,131327,123998,4839,4585,102026,97249,1120051,1064687,344105,334270,32824,31421,172308,162333,11737,10975,553803,534187,460916,444705,35716,34448,21252,20509,7402,7030,2465,2469,26052,25026,484432,467279,49275,47499,30106,29057,15250,14531,4864,4755
R,7,2025,13,4160152,2128821,2031331,1497270,1425741,325729,314680,39213,37476,133209,126100,7121,6862,126279,120472,1613180,1536289,393302,379555,64133,61356,180825,171103,16205,15502,1570305,1494010,1031860,977444,290648,281086,16850,16162,125987,119323,4675,4421,100285,95574,1124313,1065537,344643,332986,32865,31476,165859,156909,11400,10788,558516,537321,465410,448297,35081,33594,22363,21314,7222,6777,2446,2441,25994,24898,488867,470752,48659,46569,31268,29880,14966,14194,4805,4714
